Time_Index,CCGT_3,OCGT_F_3,Hydro_Res_3_3,Hydro_RoR_3_3,PHS_3_3,Li-ion_3,PV_3_0_3,Wind_3_0_3,Wind_3_1_3,Wind_3_2_3,CCGT_old_3,OCGT_old_3,NGST_old_3,Nuclear_old_3,Bio_3,Coal_3,Hydro_Res_1_1,Hydro_RoR_1_1,PHS_1_1,Li-ion_1,PV_1_0_1,Wind_1_0_1,Wind_1_1_1,Wind_1_2_1,CCGT_old_1,OCGT_old_1,NGST_old_1,Nuclear_old_1,Bio_1,CCGT_1,OCGT_F_1,Coal_1,Hydro_Res_2_2,Hydro_RoR_2_2,PHS_2_2,Li-ion_2,PV_2_0_2,Wind_2_0_2,Wind_2_1_2,Wind_2_2_2,CCGT_old_2,OCGT_old_2,NGST_old_2,Nuclear_old_2,Bio_2,CCGT_2,OCGT_F_2,Coal_2,Hydro_Res_4_4,Hydro_RoR_4_4,Li-ion_4,PV_4_0_4,Wind_4_0_4,Wind_4_1_4,Wind_4_2_4,CCGT_old_4,OCGT_old_4,NGST_old_4,Nuclear_old_4,Bio_4,CCGT_4,OCGT_F_4,Coal_4
11,1,1,0.234150418,0.361688467,1,1,0.389179074,0.238584609,0.182260737,0.172067507,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.153065191,0.329177225,0.24194171,0.241600605,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.2223842,0.651088255,0.384879373,0.189202186,1,1,1,1,1,1,1,1,0,0.113198925,1,0.296987414,0.413036829,0.327858675,0.299697768,1,1,1,1,1,1,1,1
12,1,1,0.234150418,0.361688467,1,1,0.440964712,0.270571144,0.234931826,0.264703431,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.165716774,0.352559194,0.300949246,0.348978499,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.226868219,0.629423341,0.46762918,0.308860848,1,1,1,1,1,1,1,1,0,0.113198925,1,0.31304839,0.417587989,0.331500309,0.280750248,1,1,1,1,1,1,1,1
13,1,1,0.234150418,0.361688467,1,1,0.483582535,0.313705129,0.283492054,0.333848867,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.171025041,0.392526407,0.372953775,0.4589426,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.226909424,0.634614461,0.557298136,0.41030959,1,1,1,1,1,1,1,1,0,0.113198925,1,0.254846525,0.424637722,0.331511825,0.239118364,1,1,1,1,1,1,1,1
14,1,1,0.234150418,0.361688467,1,1,0.522034133,0.353018059,0.330785438,0.387313722,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.171213732,0.423454262,0.422566653,0.54168589,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.232896178,0.643661876,0.621229921,0.548894053,1,1,1,1,1,1,1,1,0,0.113198925,1,0.187980883,0.420253091,0.331951428,0.208215065,1,1,1,1,1,1,1,1
15,1,1,0.234150418,0.361688467,1,1,0.535222298,0.398243079,0.373240803,0.425428296,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.214994743,0.441264219,0.455589127,0.602022408,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.248235305,0.641747256,0.669703328,0.638555301,1,1,1,1,1,1,1,1,0,0.113198925,1,0.140049117,0.387774022,0.33881765,0.198767192,1,1,1,1,1,1,1,1
16,1,1,0.234150418,0.361688467,1,1,0.409678365,0.438666291,0.412861523,0.456987798,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.245974589,0.448587507,0.473576643,0.618242966,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.138318181,0.642923187,0.658719241,0.647726813,1,1,1,1,1,1,1,1,0,0.113198925,1,0.076854497,0.376375307,0.26840135,0.171488927,1,1,1,1,1,1,1,1
17,1,1,0.234150418,0.361688467,1,1,0.08327301,0.465667959,0.430338725,0.455809228,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.071697776,0.400923728,0.449818748,0.57923388,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.01,0.729551496,0.7610723,0.639338193,1,1,1,1,1,1,1,1,0,0.113198925,1,0.01,0.297762232,0.244639126,0.183142486,1,1,1,1,1,1,1,1
18,1,1,0.234150418,0.361688467,1,1,0,0.655268463,0.645291733,0.656859939,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.508536651,0.583112212,0.60915034,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.78484137,0.800595101,0.57984219,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.266510953,0.243027317,0.226113572,1,1,1,1,1,1,1,1
19,1,1,0.234150418,0.361688467,1,1,0,0.748778274,0.738138829,0.727390465,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.577140868,0.649782999,0.588036921,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.811626617,0.78285593,0.488189505,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.254885062,0.251404985,0.282723137,1,1,1,1,1,1,1,1
20,1,1,0.234150418,0.361688467,1,1,0,0.792211878,0.777576832,0.740557177,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.612068232,0.667665732,0.539471286,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.825146571,0.7534483,0.437515586,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.281273825,0.274507239,0.297215357,1,1,1,1,1,1,1,1
21,1,1,0.234150418,0.361688467,1,1,0,0.811293589,0.793300541,0.736818655,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.632695101,0.662995366,0.483659657,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.826609513,0.712133574,0.442211444,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.331281476,0.316071603,0.2936993,1,1,1,1,1,1,1,1
22,1,1,0.234150418,0.361688467,1,1,0,0.814671368,0.79561037,0.728702444,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.643571863,0.651788324,0.43972833,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.818967758,0.676987307,0.451758229,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.361660488,0.343155188,0.302248715,1,1,1,1,1,1,1,1
23,1,1,0.234150418,0.361688467,1,1,0,0.811900928,0.790930685,0.711861243,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.647393734,0.644853529,0.374829753,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.80585134,0.655232853,0.437764225,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.401415053,0.364989182,0.280732989,1,1,1,1,1,1,1,1
24,1,1,0.234150418,0.361688467,1,1,0,0.80536174,0.779370976,0.686255074,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.635333525,0.630815656,0.324635322,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.792004553,0.632359213,0.399627153,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.427224999,0.409007853,0.260144481,1,1,1,1,1,1,1,1
25,1,1,0.234150418,0.361688467,1,1,0,0.7959215,0.756353429,0.645717485,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.613179401,0.609019211,0.288715419,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.78142308,0.623462652,0.340026933,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.464526219,0.435269574,0.227080955,1,1,1,1,1,1,1,1
26,1,1,0.234150418,0.361688467,1,1,0,0.782964212,0.732367268,0.615302691,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.581642908,0.589478336,0.262385885,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.766853489,0.600177094,0.309395104,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.481175556,0.456604256,0.203338842,1,1,1,1,1,1,1,1
27,1,1,0.234150418,0.361688467,1,1,0,0.769288531,0.711092751,0.590332242,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.541876597,0.563539782,0.242630894,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.758596065,0.574131537,0.247363668,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.516089559,0.455029368,0.211434664,1,1,1,1,1,1,1,1
28,1,1,0.234150418,0.361688467,1,1,0,0.761936326,0.686320632,0.561935762,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.510503971,0.547642466,0.230047548,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.750670573,0.554516808,0.212753594,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.516883678,0.437565075,0.216039087,1,1,1,1,1,1,1,1
29,1,1,0.234150418,0.361688467,1,1,0,0.754891002,0.664724423,0.534650948,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.493352408,0.535041222,0.232851711,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.746245283,0.517930883,0.201550695,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.488851307,0.418375724,0.222833764,1,1,1,1,1,1,1,1
30,1,1,0.234150418,0.361688467,1,1,0,0.755453749,0.652379313,0.515288041,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.490761215,0.524616836,0.226934564,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.740869046,0.481991793,0.165321026,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.480156513,0.421562884,0.250995307,1,1,1,1,1,1,1,1
31,1,1,0.234150418,0.361688467,1,1,0.014936041,0.747666415,0.641399426,0.48949933,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.488530989,0.509815104,0.234723228,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.035267552,0.741678463,0.436854206,0.130876931,1,1,1,1,1,1,1,1,0,0.113198925,1,0.012406451,0.471099516,0.429145673,0.294903197,1,1,1,1,1,1,1,1
32,1,1,0.234150418,0.361688467,1,1,0.314803917,0.731752227,0.632898401,0.474572432,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.153182072,0.487542338,0.498393109,0.248513388,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.405514957,0.734413064,0.388001535,0.131465135,1,1,1,1,1,1,1,1,0,0.113198925,1,0.132520038,0.447032148,0.412334387,0.304639199,1,1,1,1,1,1,1,1
33,1,1,0.234150418,0.361688467,1,1,0.675808263,0.496742624,0.384296178,0.300313667,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.568714962,0.365746503,0.357447906,0.185481279,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.697406448,0.514595535,0.239403053,0.113275063,1,1,1,1,1,1,1,1,0,0.113198925,1,0.286971504,0.264878095,0.228572888,0.155910465,1,1,1,1,1,1,1,1
34,1,1,0.234150418,0.361688467,1,1,0.660205461,0.266827054,0.17714833,0.13101203,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.689016799,0.152927002,0.186855323,0.142410185,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.688352895,0.312033661,0.113324597,0.066492093,1,1,1,1,1,1,1,1,0,0.113198925,1,0.326384175,0.202798313,0.172972314,0.113282032,1,1,1,1,1,1,1,1
35,1,1,0.234150418,0.361688467,1,1,0.597679929,0.267760349,0.179682711,0.114072436,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.652977841,0.134515271,0.156982408,0.131199087,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.632785315,0.300806033,0.106610094,0.045258109,1,1,1,1,1,1,1,1,0,0.113198925,1,0.339921251,0.218561527,0.174165866,0.115583143,1,1,1,1,1,1,1,1
36,1,1,0.234150418,0.361688467,1,1,0.570521198,0.253092149,0.170120273,0.095376713,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.60295767,0.097278391,0.109897756,0.106305907,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.604102931,0.272057306,0.08930572,0.024270709,1,1,1,1,1,1,1,1,0,0.113198925,1,0.359460895,0.243086013,0.181411749,0.112489149,1,1,1,1,1,1,1,1
37,1,1,0.234150418,0.361688467,1,1,0.5593643,0.224482102,0.153320621,0.077199507,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.604213097,0.059928221,0.072519065,0.081940293,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.62420219,0.228697036,0.07448879,0.012730568,1,1,1,1,1,1,1,1,0,0.113198925,1,0.364044269,0.266699351,0.184833869,0.107307699,1,1,1,1,1,1,1,1
38,1,1,0.234150418,0.361688467,1,1,0.554154165,0.204978923,0.142173298,0.067992171,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.649701305,0.034567448,0.048324209,0.065133995,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.654500451,0.19052951,0.061780366,0.01,1,1,1,1,1,1,1,1,0,0.113198925,1,0.340648077,0.273959371,0.191544065,0.11118617,1,1,1,1,1,1,1,1
39,1,1,0.234150418,0.361688467,1,1,0.525947181,0.19379769,0.137361094,0.066457668,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.674742534,0.021168681,0.032315284,0.049689798,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.628839277,0.163989957,0.055012916,0.01,1,1,1,1,1,1,1,1,0,0.113198925,1,0.253192288,0.291459456,0.209623181,0.142014489,1,1,1,1,1,1,1,1
40,1,1,0.234150418,0.361688467,1,1,0.35038412,0.195536656,0.14049615,0.071171745,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.490288863,0.01670945,0.026214383,0.03678137,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.294354002,0.144900899,0.052311471,0.01,1,1,1,1,1,1,1,1,0,0.113198925,1,0.130521597,0.313989804,0.241378213,0.186781509,1,1,1,1,1,1,1,1
41,1,1,0.234150418,0.361688467,1,1,0.061573107,0.230669124,0.172790319,0.107111839,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.088966148,0.04046709,0.056332559,0.076763426,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.015262193,0.189257762,0.079234574,0.021280653,1,1,1,1,1,1,1,1,0,0.113198925,1,0.015902085,0.311491965,0.269739889,0.249277581,1,1,1,1,1,1,1,1
42,1,1,0.234150418,0.361688467,1,1,0,0.395243229,0.309446321,0.208593427,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.082815926,0.107466423,0.100524984,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.268459005,0.12038687,0.020853628,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.38731417,0.375810815,0.365992341,1,1,1,1,1,1,1,1
43,1,1,0.234150418,0.361688467,1,1,0,0.537169089,0.429004953,0.290823074,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.117570564,0.146919439,0.105582254,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.33249278,0.156576272,0.013889271,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.442217791,0.453497505,0.441239918,1,1,1,1,1,1,1,1
44,1,1,0.234150418,0.361688467,1,1,0,0.632633266,0.516608576,0.336698402,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.146743124,0.173173055,0.100915062,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.372776188,0.176292089,0.020794498,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.481742981,0.488371229,0.456027304,1,1,1,1,1,1,1,1
45,1,1,0.234150418,0.361688467,1,1,0,0.695992449,0.578988051,0.37913483,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.171313098,0.182567187,0.097813843,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.394258619,0.179589436,0.028393806,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.493688074,0.509824061,0.442822696,1,1,1,1,1,1,1,1
46,1,1,0.234150418,0.361688467,1,1,0,0.735881105,0.623743946,0.418381397,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.206348266,0.189968876,0.090117381,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.398496673,0.173754115,0.030302304,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.501801148,0.508775392,0.42330358,1,1,1,1,1,1,1,1
47,1,1,0.234150418,0.361688467,1,1,0,0.756731225,0.652452211,0.444193729,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.247050256,0.205844115,0.079778773,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.392683645,0.160400401,0.033873171,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.500471224,0.489468362,0.406450572,1,1,1,1,1,1,1,1
48,1,1,0.234150418,0.361688467,1,1,0,0.772638344,0.671125703,0.468448063,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.294486897,0.226648335,0.074004752,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.382113219,0.151891233,0.039212977,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.466063884,0.474082615,0.419123388,1,1,1,1,1,1,1,1
49,1,1,0.234150418,0.361688467,1,1,0,0.781200544,0.685320811,0.486613489,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.353138575,0.258402861,0.07502943,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.371631128,0.148764131,0.04663047,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.46130382,0.471938981,0.435390896,1,1,1,1,1,1,1,1
50,1,1,0.234150418,0.361688467,1,1,0,0.783111202,0.695316737,0.493972963,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.408967082,0.285663947,0.07530315,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.363515005,0.149165861,0.051164051,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.462066887,0.46730263,0.445255762,1,1,1,1,1,1,1,1
51,1,1,0.234150418,0.361688467,1,1,0,0.775909797,0.693120953,0.495897683,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.451974573,0.299026354,0.078108164,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.356660433,0.153588075,0.0498459,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.475218324,0.46630851,0.430844552,1,1,1,1,1,1,1,1
52,1,1,0.234150418,0.361688467,1,1,0,0.761484204,0.676406119,0.474832966,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.483027438,0.304222865,0.077211169,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.353852729,0.164390407,0.048352703,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.478987636,0.44498937,0.39241643,1,1,1,1,1,1,1,1
53,1,1,0.234150418,0.361688467,1,1,0,0.734514318,0.651009211,0.454182838,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.510447967,0.300137049,0.073577729,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.35423797,0.176989319,0.045901587,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.457151446,0.419235106,0.358295674,1,1,1,1,1,1,1,1
54,1,1,0.234150418,0.361688467,1,1,0,0.693513329,0.628082104,0.43957011,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.534101842,0.287026499,0.072595464,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0,0.354302816,0.184047737,0.044463418,1,1,1,1,1,1,1,1,0,0.113198925,1,0,0.440088432,0.388475302,0.316471913,1,1,1,1,1,1,1,1
55,1,1,0.234150418,0.361688467,1,1,0.011363302,0.639314636,0.5986224,0.424828279,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0,0.550833635,0.274868755,0.068365599,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.034869786,0.355268408,0.188500094,0.047098464,1,1,1,1,1,1,1,1,0,0.113198925,1,0.038041708,0.405169606,0.374767301,0.293079119,1,1,1,1,1,1,1,1
56,1,1,0.234150418,0.361688467,1,1,0.218657133,0.590950607,0.55879447,0.406069094,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.159276246,0.564762595,0.269425096,0.068213731,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.379920604,0.351776961,0.179670511,0.047564947,1,1,1,1,1,1,1,1,0,0.113198925,1,0.29617013,0.366250319,0.352951961,0.23270157,1,1,1,1,1,1,1,1
57,1,1,0.234150418,0.361688467,1,1,0.412830929,0.429151321,0.340738055,0.229551622,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.549769,0.498157752,0.214161598,0.055573279,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.644610683,0.234637813,0.121179527,0.044026363,1,1,1,1,1,1,1,1,0,0.113198925,1,0.467129838,0.281271872,0.211949607,0.106828791,1,1,1,1,1,1,1,1
58,1,1,0.234150418,0.361688467,1,1,0.384888117,0.217132313,0.112157477,0.047068199,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.637413616,0.232287127,0.069311571,0.026159191,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.616110492,0.109943002,0.049494123,0.01,1,1,1,1,1,1,1,1,0,0.113198925,1,0.474914242,0.18779014,0.128258134,0.056290002,1,1,1,1,1,1,1,1
59,1,1,0.234150418,0.361688467,1,1,0.372091805,0.135053647,0.068502466,0.045390046,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.600738958,0.122525214,0.052117236,0.030207432,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.564717714,0.070524501,0.032021235,0.016107655,1,1,1,1,1,1,1,1,0,0.113198925,1,0.455764246,0.147740726,0.1103267,0.038023688,1,1,1,1,1,1,1,1
60,1,1,0.234150418,0.361688467,1,1,0.374497675,0.111276164,0.055995018,0.050537192,1,1,1,1,1,1,0.561645861,0.566424135,1,1,0.561987211,0.151415957,0.076238566,0.045748545,1,1,1,1,1,1,1,1,0.580830121,0.251944299,1,1,0.542368698,0.066727585,0.029705965,0.027846029,1,1,1,1,1,1,1,1,0,0.113198925,1,0.46057866,0.155630653,0.087851243,0.033808835,1,1,1,1,1,1,1,1
